2025-11-25 17:45:41.429 [main] INFO  com.bulavskiy.array.filereader.impl.ArrayFileReaderImpl - Attempting to read file: data/array.txt
2025-11-25 17:45:41.431 [main] INFO  com.bulavskiy.array.filereader.impl.ArrayFileReaderImpl - File found in file system: data/array.txt
2025-11-25 17:45:41.434 [main] INFO  com.bulavskiy.array.filereader.impl.ArrayFileReaderImpl - File read successfully: data/array.txt
2025-11-25 17:45:41.434 [main] INFO  com.bulavskiy.array.application.App - 4, -1, -2, 2
2025-11-25 17:45:41.435 [main] INFO  com.bulavskiy.array.parser.impl.ArrayParserImpl - Parsed 4 numbers from '4, -1, -2, 2'
2025-11-25 17:45:41.435 [main] INFO  com.bulavskiy.array.service.impl.BubbleSort - Bubble sort array [4, -1, -2, 2] equal [-2, -1, 2, 4]
2025-11-25 17:45:41.435 [main] INFO  com.bulavskiy.array.service.impl.ShuttleSort - Shuttle sort array [4, -1, -2, 2] equal [-2, -1, 2, 4]
2025-11-25 17:45:41.435 [main] INFO  com.bulavskiy.array.service.impl.InsertionSort - Insertion sort array [4, -1, -2, 2] equal [-2, -1, 2, 4]
2025-11-25 17:45:41.435 [main] INFO  com.bulavskiy.array.application.App - NewArray{id=1, array=[4, -1, -2, 2]}
2025-11-25 17:45:41.435 [main] INFO  com.bulavskiy.array.service.impl.ArraySearchServiceImpl - Find min value -2
2025-11-25 17:45:41.436 [main] INFO  com.bulavskiy.array.service.impl.ArraySearchServiceImpl - Find max value 4
2025-11-25 17:45:41.436 [main] INFO  com.bulavskiy.array.service.impl.ArraySearchServiceImpl - Negative elements of array NewArray{id=1, array=[4, -1, -2, 2]} is equal [-1, -2]
2025-11-25 17:45:41.436 [main] INFO  com.bulavskiy.array.service.impl.ArraySearchServiceImpl - Positive elements of array NewArray{id=1, array=[4, -1, -2, 2]} is equal [4, 2]
2025-11-25 17:45:41.436 [main] INFO  com.bulavskiy.array.service.impl.ArrayReplaceServiceImpl - In array NewArray{id=1, array=[4, -1, -2, 2]} replace element number 2 with element 5
2025-11-25 17:45:41.436 [main] INFO  com.bulavskiy.array.application.App - NewArray{id=1, array=[4, -1, 5, 2]}
2025-11-25 17:45:41.436 [main] INFO  com.bulavskiy.array.service.impl.ArrayReplaceServiceImpl - In array NewArray{id=1, array=[4, -1, 5, 2]} replace all elements equal 4 with 8
2025-11-25 17:45:41.436 [main] INFO  com.bulavskiy.array.application.App - NewArray{id=1, array=[8, -1, 5, 2]}
2025-11-25 17:45:41.436 [main] INFO  com.bulavskiy.array.service.impl.ArrayCalculateServiceImpl - Sum of all elements of array NewArray{id=1, array=[8, -1, 5, 2]}, is equal 14
2025-11-25 17:45:41.436 [main] INFO  com.bulavskiy.array.service.impl.ArrayCalculateServiceImpl - The average of array elements NewArray{id=1, array=[8, -1, 5, 2]} is equal 3.5
2025-11-25 17:45:41.436 [main] INFO  com.bulavskiy.array.application.App - 1y, 2, 4
2025-11-25 17:45:41.437 [main] INFO  com.bulavskiy.array.parser.impl.ArrayParserImpl - Parsed 3 numbers from '1y, 2, 4'
2025-11-25 17:45:41.437 [main] INFO  com.bulavskiy.array.service.impl.BubbleSort - Bubble sort array [1, 2, 4] equal [1, 2, 4]
2025-11-25 17:45:41.437 [main] INFO  com.bulavskiy.array.service.impl.ShuttleSort - Shuttle sort array [1, 2, 4] equal [1, 2, 4]
2025-11-25 17:45:41.437 [main] INFO  com.bulavskiy.array.service.impl.InsertionSort - Insertion sort array [1, 2, 4] equal [1, 2, 4]
2025-11-25 17:45:41.437 [main] INFO  com.bulavskiy.array.application.App - NewArray{id=2, array=[1, 2, 4]}
2025-11-25 17:45:41.437 [main] INFO  com.bulavskiy.array.service.impl.ArraySearchServiceImpl - Find min value 1
2025-11-25 17:45:41.437 [main] INFO  com.bulavskiy.array.service.impl.ArraySearchServiceImpl - Find max value 4
2025-11-25 17:45:41.437 [main] INFO  com.bulavskiy.array.service.impl.ArraySearchServiceImpl - Negative elements of array NewArray{id=2, array=[1, 2, 4]} is equal []
2025-11-25 17:45:41.437 [main] INFO  com.bulavskiy.array.service.impl.ArraySearchServiceImpl - Positive elements of array NewArray{id=2, array=[1, 2, 4]} is equal [1, 2, 4]
2025-11-25 17:45:41.437 [main] INFO  com.bulavskiy.array.service.impl.ArrayReplaceServiceImpl - In array NewArray{id=2, array=[1, 2, 4]} replace element number 2 with element 5
2025-11-25 17:45:41.437 [main] INFO  com.bulavskiy.array.application.App - NewArray{id=2, array=[1, 2, 5]}
2025-11-25 17:45:41.437 [main] INFO  com.bulavskiy.array.service.impl.ArrayReplaceServiceImpl - In array NewArray{id=2, array=[1, 2, 5]} replace all elements equal 4 with 8
2025-11-25 17:45:41.437 [main] INFO  com.bulavskiy.array.application.App - NewArray{id=2, array=[1, 2, 5]}
2025-11-25 17:45:41.438 [main] INFO  com.bulavskiy.array.service.impl.ArrayCalculateServiceImpl - Sum of all elements of array NewArray{id=2, array=[1, 2, 5]}, is equal 8
2025-11-25 17:45:41.438 [main] INFO  com.bulavskiy.array.service.impl.ArrayCalculateServiceImpl - The average of array elements NewArray{id=2, array=[1, 2, 5]} is equal 2.6666666666666665
2025-11-25 17:45:41.438 [main] INFO  com.bulavskiy.array.application.App - 7 - 4 - 4
2025-11-25 17:45:41.438 [main] INFO  com.bulavskiy.array.parser.impl.ArrayParserImpl - Parsed 3 numbers from '7 - 4 - 4'
2025-11-25 17:45:41.438 [main] INFO  com.bulavskiy.array.service.impl.BubbleSort - Bubble sort array [7, 4, 4] equal [4, 4, 7]
2025-11-25 17:45:41.438 [main] INFO  com.bulavskiy.array.service.impl.ShuttleSort - Shuttle sort array [7, 4, 4] equal [4, 4, 7]
2025-11-25 17:45:41.438 [main] INFO  com.bulavskiy.array.service.impl.InsertionSort - Insertion sort array [7, 4, 4] equal [4, 4, 7]
2025-11-25 17:45:41.438 [main] INFO  com.bulavskiy.array.application.App - NewArray{id=3, array=[7, 4, 4]}
2025-11-25 17:45:41.438 [main] INFO  com.bulavskiy.array.service.impl.ArraySearchServiceImpl - Find min value 4
2025-11-25 17:45:41.438 [main] INFO  com.bulavskiy.array.service.impl.ArraySearchServiceImpl - Find max value 7
2025-11-25 17:45:41.438 [main] INFO  com.bulavskiy.array.service.impl.ArraySearchServiceImpl - Negative elements of array NewArray{id=3, array=[7, 4, 4]} is equal []
2025-11-25 17:45:41.438 [main] INFO  com.bulavskiy.array.service.impl.ArraySearchServiceImpl - Positive elements of array NewArray{id=3, array=[7, 4, 4]} is equal [7, 4, 4]
2025-11-25 17:45:41.439 [main] INFO  com.bulavskiy.array.service.impl.ArrayReplaceServiceImpl - In array NewArray{id=3, array=[7, 4, 4]} replace element number 2 with element 5
2025-11-25 17:45:41.439 [main] INFO  com.bulavskiy.array.application.App - NewArray{id=3, array=[7, 4, 5]}
2025-11-25 17:45:41.439 [main] INFO  com.bulavskiy.array.service.impl.ArrayReplaceServiceImpl - In array NewArray{id=3, array=[7, 4, 5]} replace all elements equal 4 with 8
2025-11-25 17:45:41.439 [main] INFO  com.bulavskiy.array.application.App - NewArray{id=3, array=[7, 8, 5]}
2025-11-25 17:45:41.439 [main] INFO  com.bulavskiy.array.service.impl.ArrayCalculateServiceImpl - Sum of all elements of array NewArray{id=3, array=[7, 8, 5]}, is equal 20
2025-11-25 17:45:41.439 [main] INFO  com.bulavskiy.array.service.impl.ArrayCalculateServiceImpl - The average of array elements NewArray{id=3, array=[7, 8, 5]} is equal 6.666666666666667
2025-11-25 17:45:41.440 [main] INFO  com.bulavskiy.array.service.impl.ArrayCalculateServiceImpl - Sum of all elements of array NewArray{id=52, array=[1, 2, 3]}, is equal 6
2025-11-25 17:45:41.440 [main] INFO  com.bulavskiy.array.service.impl.ArrayCalculateServiceImpl - The average of array elements NewArray{id=52, array=[1, 2, 3]} is equal 2.0
2025-11-25 17:45:41.440 [main] INFO  com.bulavskiy.array.service.impl.ArraySearchServiceImpl - Find min value 1
2025-11-25 17:45:41.440 [main] INFO  com.bulavskiy.array.service.impl.ArraySearchServiceImpl - Find max value 3
2025-11-25 17:45:41.440 [main] INFO  com.bulavskiy.array.warehouse.Warehouse - Array statistics with id=52 added to warehouse
2025-11-25 17:45:41.440 [main] INFO  com.bulavskiy.array.observer.impl.ArrayObserverImpl - Statistics updated for array NewArray{id=52, array=[1, 2, 3]}
2025-11-25 17:45:41.440 [main] INFO  com.bulavskiy.array.repository.ArrayRepository - Array 52 added to repository
2025-11-25 17:45:41.440 [main] INFO  com.bulavskiy.array.service.impl.ArrayCalculateServiceImpl - Sum of all elements of array NewArray{id=53, array=[4, 5, 6, 7]}, is equal 22
2025-11-25 17:45:41.441 [main] INFO  com.bulavskiy.array.service.impl.ArrayCalculateServiceImpl - The average of array elements NewArray{id=53, array=[4, 5, 6, 7]} is equal 5.5
2025-11-25 17:45:41.441 [main] INFO  com.bulavskiy.array.service.impl.ArraySearchServiceImpl - Find min value 4
2025-11-25 17:45:41.441 [main] INFO  com.bulavskiy.array.service.impl.ArraySearchServiceImpl - Find max value 7
2025-11-25 17:45:41.441 [main] INFO  com.bulavskiy.array.warehouse.Warehouse - Array statistics with id=53 added to warehouse
2025-11-25 17:45:41.441 [main] INFO  com.bulavskiy.array.observer.impl.ArrayObserverImpl - Statistics updated for array NewArray{id=53, array=[4, 5, 6, 7]}
2025-11-25 17:45:41.441 [main] INFO  com.bulavskiy.array.repository.ArrayRepository - Array 53 added to repository
2025-11-25 17:45:41.441 [main] INFO  com.bulavskiy.array.service.impl.ArrayCalculateServiceImpl - Sum of all elements of array NewArray{id=54, array=[10, -5, 0]}, is equal 5
2025-11-25 17:45:41.441 [main] INFO  com.bulavskiy.array.service.impl.ArrayCalculateServiceImpl - The average of array elements NewArray{id=54, array=[10, -5, 0]} is equal 1.6666666666666667
2025-11-25 17:45:41.441 [main] INFO  com.bulavskiy.array.service.impl.ArraySearchServiceImpl - Find min value -5
2025-11-25 17:45:41.441 [main] INFO  com.bulavskiy.array.service.impl.ArraySearchServiceImpl - Find max value 10
2025-11-25 17:45:41.441 [main] INFO  com.bulavskiy.array.warehouse.Warehouse - Array statistics with id=54 added to warehouse
2025-11-25 17:45:41.441 [main] INFO  com.bulavskiy.array.observer.impl.ArrayObserverImpl - Statistics updated for array NewArray{id=54, array=[10, -5, 0]}
2025-11-25 17:45:41.441 [main] INFO  com.bulavskiy.array.repository.ArrayRepository - Array 54 added to repository
2025-11-25 17:45:41.442 [main] INFO  com.bulavskiy.array.service.impl.ArrayCalculateServiceImpl - Sum of all elements of array NewArray{id=52, array=[1, 2, 3]}, is equal 6
2025-11-25 17:45:41.442 [main] INFO  com.bulavskiy.array.service.impl.ArrayCalculateServiceImpl - Sum of all elements of array NewArray{id=53, array=[4, 5, 6, 7]}, is equal 22
2025-11-25 17:45:41.442 [main] INFO  com.bulavskiy.array.service.impl.ArrayCalculateServiceImpl - Sum of all elements of array NewArray{id=54, array=[10, -5, 0]}, is equal 5
2025-11-25 17:45:41.442 [main] INFO  com.bulavskiy.array.application.App - Arrays with sum == 6 -> [NewArray{id=52, array=[1, 2, 3]}]
2025-11-25 17:45:41.442 [main] INFO  com.bulavskiy.array.application.App - Arrays sorted by length -> [NewArray{id=52, array=[1, 2, 3]}, NewArray{id=54, array=[10, -5, 0]}, NewArray{id=53, array=[4, 5, 6, 7]}]
